Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Problem/Incident),Outward issue link (Problem/Incident),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Affected services),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Link),Custom field (Impact),Custom field (Issue color),Custom field (Rank),Custom field (Request Type),Custom field (Request language),Custom field (Request participants),Satisfaction rating,Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Time to first response),Custom field (Time to resolution),Custom field (Work category),Custom field ([CHART] Date of First Response),Comment,Status Category
Check if by clicking on the very last page redirects to the last page,RET-111,10117,Test,Done,RET,Retail,software,nitesh kumar,620b303cef2bd5006ae8ba0d,,Medium,Done,,,nitesh kumar,620b303cef2bd5006ae8ba0d,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 9:23 PM,18/Feb/22 2:37 PM,18/Feb/22 2:34 PM,18/Feb/22 2:37 PM,,0,"*Steps to reproduce:*

* Navigate to Home/[Customer Searches Report|http://retailm1.upskills.in/admin/index.php?route=report/customer_search&token=d690981wFnhpVCtAidjyzz8A4gOTC7Sc]
* Move to the bottom of the page.
* Then move to any other page than the first page.
* Click on the last page button.

*Expected Output:*

* An error message should appear regarding invalid input.

*Screenshot:*

* !image-20220218-054952.png|width=610,height=119!",,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,18/Feb/22 2:34 PM;ug:1b7a4829-1848-41cb-aa91-ce9808b1655c;image-20220218-054952.png;https://ibmhaldia-nk.atlassian.net/secure/attachment/10015/image-20220218-054952.png,,,,,,,{},,,,0|i000p3:,,,,,RET Sprint 1,,,,,,,,,,,,Done
Check if by clicking on the very first page button redirects to the first page,RET-110,10116,Test,In Progress,RET,Retail,software,nitesh kumar,620b303cef2bd5006ae8ba0d,,Medium,,,,nitesh kumar,620b303cef2bd5006ae8ba0d,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 9:23 PM,18/Feb/22 2:34 PM,18/Feb/22 3:48 PM,,,0,"*Steps to reproduce:*

* Navigate to Home/[Customer Searches Report|http://retailm1.upskills.in/admin/index.php?route=report/customer_search&token=d690981wFnhpVCtAidjyzz8A4gOTC7Sc]
* Move to the bottom of the page.
* Then move to any other page than the first page.
* Click on the first page button.

*Expected Output:*

* An error message should appear regarding invalid input.

*Screenshot:*

* !image-20220218-054952.png|width=610,height=119!",,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,RET-121,,,,,,,,,,18/Feb/22 11:20 AM;ug:1b7a4829-1848-41cb-aa91-ce9808b1655c;image-20220218-054952.png;https://ibmhaldia-nk.atlassian.net/secure/attachment/10014/image-20220218-054952.png,,,,,,,{},,,,0|i000ov:,,,,,RET Sprint 1,,,,,,,,,,,,In Progress
Check if by clicking on any page number it redirects to that page,RET-109,10115,Test,Done,RET,Retail,software,nitesh kumar,620b303cef2bd5006ae8ba0d,,Medium,Done,,,nitesh kumar,620b303cef2bd5006ae8ba0d,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 9:23 PM,18/Feb/22 9:35 AM,21/Feb/22 9:56 AM,18/Feb/22 9:35 AM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i000on:,,,,,RET Sprint 1,,,,,,,,,,,,Done
The valid page number must be displayed on the opened page,RET-108,10114,Test,Done,RET,Retail,software,nitesh kumar,620b303cef2bd5006ae8ba0d,,Medium,Done,,,nitesh kumar,620b303cef2bd5006ae8ba0d,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 9:23 PM,18/Feb/22 9:35 AM,21/Feb/22 9:56 AM,18/Feb/22 9:35 AM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i000of:,,,,,RET Sprint 1,,,,,,,,,,,,Done
On the last page the next button must be disabled,RET-107,10113,Test,Done,RET,Retail,software,nitesh kumar,620b303cef2bd5006ae8ba0d,,Medium,Done,,,nitesh kumar,620b303cef2bd5006ae8ba0d,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 9:23 PM,18/Feb/22 9:35 AM,21/Feb/22 9:56 AM,18/Feb/22 9:35 AM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i000o7:,,,,,RET Sprint 1,,,,,,,,,,,,Done
On the first page the previous button must be disabled,RET-106,10112,Test,Done,RET,Retail,software,nitesh kumar,620b303cef2bd5006ae8ba0d,,Medium,Done,,,nitesh kumar,620b303cef2bd5006ae8ba0d,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 9:23 PM,18/Feb/22 9:35 AM,21/Feb/22 9:56 AM,18/Feb/22 9:35 AM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i000nz:,,,,,RET Sprint 1,,,,,,,,,,,,Done
when the next button is clicked it must redirect to next page,RET-105,10111,Test,Done,RET,Retail,software,nitesh kumar,620b303cef2bd5006ae8ba0d,,Medium,Done,,,nitesh kumar,620b303cef2bd5006ae8ba0d,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 9:23 PM,18/Feb/22 9:36 AM,18/Feb/22 9:36 AM,18/Feb/22 9:36 AM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i000nr:,,,,,RET Sprint 1,,,,,,,,,,,,Done
When previous button is clicked it must redirect to previous page,RET-104,10110,Test,Done,RET,Retail,software,nitesh kumar,620b303cef2bd5006ae8ba0d,,Medium,Done,,,nitesh kumar,620b303cef2bd5006ae8ba0d,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 9:22 PM,18/Feb/22 9:35 AM,21/Feb/22 9:56 AM,18/Feb/22 9:35 AM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i000nj:,,,,,RET Sprint 1,,,,,,,,,,,,Done
The pagination displayed must contain previous and next clickable links.,RET-103,10109,Test,Done,RET,Retail,software,nitesh kumar,620b303cef2bd5006ae8ba0d,,Medium,Done,,,nitesh kumar,620b303cef2bd5006ae8ba0d,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 9:22 PM,18/Feb/22 9:36 AM,21/Feb/22 9:56 AM,18/Feb/22 9:36 AM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i000nb:,,,,,RET Sprint 1,,,,,,,,,,,,Done
The Default count of records on the page must be checked,RET-102,10108,Test,Done,RET,Retail,software,nitesh kumar,620b303cef2bd5006ae8ba0d,,Medium,Done,,,nitesh kumar,620b303cef2bd5006ae8ba0d,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 9:22 PM,18/Feb/22 9:35 AM,21/Feb/22 9:56 AM,18/Feb/22 9:35 AM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i000n3:,,,,,RET Sprint 1,,,,,,,,,,,,Done
Validate search rules defined for “Similar Match” with the search key word,RET-101,10107,Test,Done,RET,Retail,software,nitesh kumar,620b303cef2bd5006ae8ba0d,,Medium,Done,,,nitesh kumar,620b303cef2bd5006ae8ba0d,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 9:22 PM,18/Feb/22 9:36 AM,21/Feb/22 9:56 AM,18/Feb/22 9:36 AM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i000mv:,,,,,RET Sprint 1,,,,,,,,,,,,Done
Validate search rules defined for “Exact Match” with the search key word,RET-100,10106,Test,Done,RET,Retail,software,nitesh kumar,620b303cef2bd5006ae8ba0d,,Medium,Done,,,nitesh kumar,620b303cef2bd5006ae8ba0d,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 9:22 PM,18/Feb/22 9:37 AM,21/Feb/22 9:56 AM,18/Feb/22 9:37 AM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i000mn:,,,,,RET Sprint 1,,,,,,,,,,,,Done
Water text should be provided for user to understand what to search,RET-99,10105,Test,Done,RET,Retail,software,nitesh kumar,620b303cef2bd5006ae8ba0d,,Medium,Done,,,nitesh kumar,620b303cef2bd5006ae8ba0d,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 9:22 PM,18/Feb/22 9:35 AM,21/Feb/22 9:56 AM,18/Feb/22 9:35 AM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i000mf:,,,,,RET Sprint 1,,,,,,,,,,,,Done
Total number of search records/results should be displayed on page,RET-98,10104,Test,Done,RET,Retail,software,nitesh kumar,620b303cef2bd5006ae8ba0d,,Medium,Done,,,nitesh kumar,620b303cef2bd5006ae8ba0d,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 9:22 PM,18/Feb/22 9:35 AM,21/Feb/22 9:56 AM,18/Feb/22 9:35 AM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i000m7:,,,,,RET Sprint 1,,,,,,,,,,,,Done
After clicking Search field - search history should be displayed (latest search keyword),RET-97,10103,Test,Done,RET,Retail,software,nitesh kumar,620b303cef2bd5006ae8ba0d,,Medium,Done,,,nitesh kumar,620b303cef2bd5006ae8ba0d,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 9:22 PM,18/Feb/22 9:35 AM,21/Feb/22 9:56 AM,18/Feb/22 9:35 AM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i000lz:,,,,,RET Sprint 1,,,,,,,,,,,,Done
"When user clicks on any link from result and navigates back, then result should be maintained",RET-96,10102,Test,Done,RET,Retail,software,nitesh kumar,620b303cef2bd5006ae8ba0d,,Medium,Done,,,nitesh kumar,620b303cef2bd5006ae8ba0d,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 9:22 PM,18/Feb/22 9:35 AM,21/Feb/22 9:56 AM,18/Feb/22 9:35 AM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i000lr:,,,,,RET Sprint 1,,,,,,,,,,,,Done
There should be pre-defined search criteria for auto complete e.g. after typing first 3 letter it should suggest matching keyword,RET-95,10101,Test,Done,RET,Retail,software,nitesh kumar,620b303cef2bd5006ae8ba0d,,Medium,Done,,,nitesh kumar,620b303cef2bd5006ae8ba0d,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 9:22 PM,18/Feb/22 9:35 AM,21/Feb/22 9:56 AM,18/Feb/22 9:35 AM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i000lj:,,,,,RET Sprint 1,,,,,,,,,,,,Done
When user start typing word in text box it should suggest words that matches typed keyword,RET-94,10100,Test,Done,RET,Retail,software,nitesh kumar,620b303cef2bd5006ae8ba0d,,Medium,Done,,,nitesh kumar,620b303cef2bd5006ae8ba0d,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 9:22 PM,18/Feb/22 9:35 AM,21/Feb/22 9:56 AM,18/Feb/22 9:35 AM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i000lb:,,,,,RET Sprint 1,,,,,,,,,,,,Done
Application should not crash if user inserted % in search field,RET-93,10099,Test,Done,RET,Retail,software,nitesh kumar,620b303cef2bd5006ae8ba0d,,Medium,Done,,,nitesh kumar,620b303cef2bd5006ae8ba0d,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 9:22 PM,18/Feb/22 9:35 AM,21/Feb/22 9:56 AM,18/Feb/22 9:35 AM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i000l3:,,,,,RET Sprint 1,,,,,,,,,,,,Done
% sign in search keyword should not redirect to 404 ERROR,RET-92,10098,Test,Done,RET,Retail,software,nitesh kumar,620b303cef2bd5006ae8ba0d,,Medium,Done,,,nitesh kumar,620b303cef2bd5006ae8ba0d,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 9:22 PM,18/Feb/22 9:37 AM,21/Feb/22 9:56 AM,18/Feb/22 9:37 AM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i000kv:,,,,,RET Sprint 1,,,,,,,,,,,,Done
"Check if the form accepts the valid month, date, year in mm/dd/yy format.",RET-91,10097,Test,Done,RET,Retail,software,nitesh kumar,620b303cef2bd5006ae8ba0d,,Medium,Done,,,nitesh kumar,620b303cef2bd5006ae8ba0d,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 9:22 PM,18/Feb/22 9:35 AM,21/Feb/22 9:56 AM,18/Feb/22 9:35 AM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i000kn:,,,,,RET Sprint 1,,,,,,,,,,,,Done
Check that user able to change the date or not once select from date picker.,RET-90,10096,Test,Done,RET,Retail,software,nitesh kumar,620b303cef2bd5006ae8ba0d,,Medium,Done,,,nitesh kumar,620b303cef2bd5006ae8ba0d,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 9:22 PM,18/Feb/22 9:35 AM,21/Feb/22 9:56 AM,18/Feb/22 9:35 AM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i000kf:,,,,,RET Sprint 1,,,,,,,,,,,,Done
"Click on the date field, select the date, and verify if the correct date is shown in the box.",RET-89,10095,Test,Done,RET,Retail,software,nitesh kumar,620b303cef2bd5006ae8ba0d,,Medium,Done,,,nitesh kumar,620b303cef2bd5006ae8ba0d,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 9:22 PM,18/Feb/22 9:36 AM,21/Feb/22 9:56 AM,18/Feb/22 9:36 AM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i000k7:,,,,,RET Sprint 1,,,,,,,,,,,,Done
